policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
b1,site10,very_delayed,120,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site10,extreme,336,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
b1,site2,no_delay,0,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
b1,site2,fast,12,2.70645,6.698090078107672,0.0,29.617,746.85497,0.0,99.880555,1710.500741428571,100,0.6698090078107672,1.393624344690896,4.019275655309103
b1,site2,normal,24,13.944996000000002,24.53168643825023,0.0,137.8436,735.6164239999999,0.0,99.452779,1699.2621954285712,100,2.453168643825023,9.136785458102956,18.753206541897047
b1,site2,delayed,48,52.195898,80.5548109985751,0.0,427.4522,697.365522,0.0,98.077779,1661.011293428571,100,8.055481099857511,36.40715504427928,67.98464095572072
b1,site2,monsoon,72,90.36316000000001,117.7212191751892,0.0,476.4668,659.19826,0.0,96.68611500000002,1622.8440314285713,100,11.77212191751892,67.28980104166293,113.43651895833709
b1,site2,very_delayed,120,137.411294,153.42408550441692,0.0,547.6818,612.150126,0.0,95.019448,1575.7958974285712,100,15.342408550441693,107.34017324113428,167.48241475886573
b1,site2,extreme,336,232.03069599999998,162.09290131616532,0.0,578.7624,517.5307240000001,0.0,91.66666800000002,1481.1764954285713,100,16.209290131616534,200.26048734203158,263.8009046579684
b1,site5,no_delay,0,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
b1,site5,fast,12,3.3730728,19.518848143882558,0.0,183.5984,707.2570872,0.0,99.827778,1389.3821157714285,100,1.9518848143882557,-0.45262143620098083,7.198767036200981
b1,site5,normal,24,15.4376592,36.368879616335086,0.0,183.5984,695.1925008,0.0,99.230554,1377.3175293714285,100,3.6368879616335086,8.309358795198325,22.565959604801677
b1,site5,delayed,48,60.7034972,89.16052073643715,0.0,434.03004,649.9266628,0.0,97.191668,1332.0516913714287,100,8.916052073643716,43.22803513565832,78.17895926434169
